transfer_id,from_stop_id,to_stop_id,distance_km,walk_time_min,transfer_penalty_min,total_time_min,from_type,to_type
W_E00147,M1_TAFOURAH,63,0.6183,7.42,3,10.42,Metro,Bus
W_E00148,63,M1_TAFOURAH,0.6183,7.42,3,10.42,Bus,Metro
W_E00149,M1_TAFOURAH,64,0.9263,11.12,3,14.12,Metro,Bus
W_E00150,64,M1_TAFOURAH,0.9263,11.12,3,14.12,Bus,Metro
W_E00151,M1_TAFOURAH,69,0.8449,10.14,3,13.14,Metro,Bus
W_E00152,69,M1_TAFOURAH,0.8449,10.14,3,13.14,Bus,Metro
W_E00153,M1_TAFOURAH,70,0.2688,3.23,3,6.23,Metro,Bus
W_E00154,70,M1_TAFOURAH,0.2688,3.23,3,6.23,Bus,Metro
W_E00155,M1_TAFOURAH,71,0.2699,3.24,3,6.24,Metro,Bus
W_E00156,71,M1_TAFOURAH,0.2699,3.24,3,6.24,Bus,Metro
W_E00157,M1_TAFOURAH,72,0.9034,10.84,3,13.84,Metro,Bus
W_E00158,72,M1_TAFOURAH,0.9034,10.84,3,13.84,Bus,Metro
W_E00159,M1_TAFOURAH,73,0.916,10.99,3,13.99,Metro,Bus
W_E00160,73,M1_TAFOURAH,0.916,10.99,3,13.99,Bus,Metro
W_E00161,M1_TAFOURAH,74,0.5467,6.56,3,9.56,Metro,Bus
W_E00162,74,M1_TAFOURAH,0.5467,6.56,3,9.56,Bus,Metro
W_E00163,M1_TAFOURAH,75,0.5349,6.42,3,9.42,Metro,Bus
W_E00164,75,M1_TAFOURAH,0.5349,6.42,3,9.42,Bus,Metro
W_E00165,M1_TAFOURAH,76,0.9485,11.38,3,14.38,Metro,Bus
W_E00166,76,M1_TAFOURAH,0.9485,11.38,3,14.38,Bus,Metro
W_E00167,M1_TAFOURAH,77,0.856,10.27,3,13.27,Metro,Bus
W_E00168,77,M1_TAFOURAH,0.856,10.27,3,13.27,Bus,Metro
W_E00169,M1_TAFOURAH,78,0.4184,5.02,3,8.02,Metro,Bus
W_E00170,78,M1_TAFOURAH,0.4184,5.02,3,8.02,Bus,Metro
W_E00171,M1_TAFOURAH,79,0.5209,6.25,3,9.25,Metro,Bus
W_E00172,79,M1_TAFOURAH,0.5209,6.25,3,9.25,Bus,Metro
W_E00173,M1_TAFOURAH,80,0.5272,6.33,3,9.33,Metro,Bus
W_E00174,80,M1_TAFOURAH,0.5272,6.33,3,9.33,Bus,Metro
W_E00175,M1_TAFOURAH,988,0.9862,11.83,3,14.83,Metro,Bus
W_E00176,988,M1_TAFOURAH,0.9862,11.83,3,14.83,Bus,Metro
W_E00177,M1_TAFOURAH,993,0.62,7.44,3,10.44,Metro,Bus
W_E00178,993,M1_TAFOURAH,0.62,7.44,3,10.44,Bus,Metro
W_E00179,M1_TAFOURAH,994,0.5802,6.96,3,9.96,Metro,Bus
W_E00180,994,M1_TAFOURAH,0.5802,6.96,3,9.96,Bus,Metro
W_E00181,M1_TAFOURAH,TRN_AGHA,0.5766,6.92,3,9.92,Metro,Train
W_E00182,TRN_AGHA,M1_TAFOURAH,0.5766,6.92,3,9.92,Train,Metro
W_E00183,M1_TAFOURAH,TRN_ALGER,0.759,9.11,3,12.11,Metro,Train
W_E00184,TRN_ALGER,M1_TAFOURAH,0.759,9.11,3,12.11,Train,Metro
W_E00185,M1_KHEL,36,0.57,6.84,3,9.84,Metro,Bus
W_E00186,36,M1_KHEL,0.57,6.84,3,9.84,Bus,Metro
W_E00187,M1_KHEL,37,0.7544,9.05,3,12.05,Metro,Bus
W_E00188,37,M1_KHEL,0.7544,9.05,3,12.05,Bus,Metro
W_E00189,M1_KHEL,38,0.7598,9.12,3,12.12,Metro,Bus
W_E00190,38,M1_KHEL,0.7598,9.12,3,12.12,Bus,Metro
W_E00191,M1_KHEL,39,0.9671,11.61,3,14.61,Metro,Bus
W_E00192,39,M1_KHEL,0.9671,11.61,3,14.61,Bus,Metro
W_E00193,M1_KHEL,40,0.9822,11.79,3,14.79,Metro,Bus
W_E00194,40,M1_KHEL,0.9822,11.79,3,14.79,Bus,Metro
W_E00195,M1_KHEL,41,0.6475,7.77,3,10.77,Metro,Bus
W_E00196,41,M1_KHEL,0.6475,7.77,3,10.77,Bus,Metro
W_E00197,M1_KHEL,42,0.6554,7.86,3,10.86,Metro,Bus
W_E00198,42,M1_KHEL,0.6554,7.86,3,10.86,Bus,Metro
W_E00199,M1_KHEL,45,0.3217,3.86,3,6.86,Metro,Bus
W_E00200,45,M1_KHEL,0.3217,3.86,3,6.86,Bus,Metro
W_E00201,M1_KHEL,48,0.7777,9.33,3,12.33,Metro,Bus
W_E00202,48,M1_KHEL,0.7777,9.33,3,12.33,Bus,Metro
W_E00203,M1_KHEL,49,0.8728,10.47,3,13.47,Metro,Bus
W_E00204,49,M1_KHEL,0.8728,10.47,3,13.47,Bus,Metro
W_E00205,M1_KHEL,59,0.3796,4.56,3,7.56,Metro,Bus
W_E00206,59,M1_KHEL,0.3796,4.56,3,7.56,Bus,Metro
W_E00207,M1_KHEL,60,0.3801,4.56,3,7.56,Metro,Bus
W_E00208,60,M1_KHEL,0.3801,4.56,3,7.56,Bus,Metro
W_E00209,M1_KHEL,61,0.4347,5.22,3,8.22,Metro,Bus
W_E00210,61,M1_KHEL,0.4347,5.22,3,8.22,Bus,Metro
W_E00211,M1_KHEL,62,0.3894,4.67,3,7.67,Metro,Bus
W_E00212,62,M1_KHEL,0.3894,4.67,3,7.67,Bus,Metro
W_E00213,M1_KHEL,63,0.435,5.22,3,8.22,Metro,Bus
W_E00214,63,M1_KHEL,0.435,5.22,3,8.22,Bus,Metro
W_E00215,M1_KHEL,64,0.3927,4.71,3,7.71,Metro,Bus
W_E00216,64,M1_KHEL,0.3927,4.71,3,7.71,Bus,Metro
W_E00217,M1_KHEL,65,0.3475,4.17,3,7.17,Metro,Bus
W_E00218,65,M1_KHEL,0.3475,4.17,3,7.17,Bus,Metro
W_E00219,M1_KHEL,66,0.3503,4.2,3,7.2,Metro,Bus
W_E00220,66,M1_KHEL,0.3503,4.2,3,7.2,Bus,Metro
W_E00221,M1_KHEL,67,0.7083,8.5,3,11.5,Metro,Bus
W_E00222,67,M1_KHEL,0.7083,8.5,3,11.5,Bus,Metro
W_E00223,M1_KHEL,68,0.7078,8.49,3,11.49,Metro,Bus
W_E00224,68,M1_KHEL,0.7078,8.49,3,11.49,Bus,Metro
W_E00225,M1_KHEL,69,0.5102,6.12,3,9.12,Metro,Bus
W_E00226,69,M1_KHEL,0.5102,6.12,3,9.12,Bus,Metro
W_E00227,M1_KHEL,74,0.8232,9.88,3,12.88,Metro,Bus
W_E00228,74,M1_KHEL,0.8232,9.88,3,12.88,Bus,Metro
W_E00229,M1_KHEL,75,0.8431,10.12,3,13.12,Metro,Bus
W_E00230,75,M1_KHEL,0.8431,10.12,3,13.12,Bus,Metro
W_E00231,M1_KHEL,76,0.6217,7.46,3,10.46,Metro,Bus
W_E00232,76,M1_KHEL,0.6217,7.46,3,10.46,Bus,Metro
W_E00233,M1_KHEL,77,0.5927,7.11,3,10.11,Metro,Bus
W_E00234,77,M1_KHEL,0.5927,7.11,3,10.11,Bus,Metro
W_E00235,M1_KHEL,78,0.58,6.96,3,9.96,Metro,Bus
W_E00236,78,M1_KHEL,0.58,6.96,3,9.96,Bus,Metro
W_E00237,M1_KHEL,981,0.6773,8.13,3,11.13,Metro,Bus
W_E00238,981,M1_KHEL,0.6773,8.13,3,11.13,Bus,Metro
W_E00239,M1_KHEL,982,0.6489,7.79,3,10.79,Metro,Bus
W_E00240,982,M1_KHEL,0.6489,7.79,3,10.79,Bus,Metro
W_E00241,M1_KHEL,983,0.595,7.14,3,10.14,Metro,Bus
W_E00242,983,M1_KHEL,0.595,7.14,3,10.14,Bus,Metro
W_E00243,M1_KHEL,988,0.0212,0.25,3,3.25,Metro,Bus
W_E00244,988,M1_KHEL,0.0212,0.25,3,3.25,Bus,Metro
W_E00245,M1_KHEL,989,0.7182,8.62,3,11.62,Metro,Bus
W_E00246,989,M1_KHEL,0.7182,8.62,3,11.62,Bus,Metro
W_E00247,M1_KHEL,990,0.6945,8.33,3,11.33,Metro,Bus
W_E00248,990,M1_KHEL,0.6945,8.33,3,11.33,Bus,Metro
W_E00249,M1_KHEL,993,0.3717,4.46,3,7.46,Metro,Bus
W_E00250,993,M1_KHEL,0.3717,4.46,3,7.46,Bus,Metro
W_E00251,M1_KHEL,994,0.411,4.93,3,7.93,Metro,Bus
W_E00252,994,M1_KHEL,0.411,4.93,3,7.93,Bus,Metro
W_E00253,M1_KHEL,995,0.8557,10.27,3,13.27,Metro,Bus
W_E00254,995,M1_KHEL,0.8557,10.27,3,13.27,Bus,Metro
W_E00255,M1_KHEL,996,0.8268,9.92,3,12.92,Metro,Bus
W_E00256,996,M1_KHEL,0.8268,9.92,3,12.92,Bus,Metro
W_E00257,M1_KHEL,997,0.7885,9.46,3,12.46,Metro,Bus
W_E00258,997,M1_KHEL,0.7885,9.46,3,12.46,Bus,Metro
W_E00259,M1_KHEL,998,0.7705,9.25,3,12.25,Metro,Bus
W_E00260,998,M1_KHEL,0.7705,9.25,3,12.25,Bus,Metro
W_E00261,M1_KHEL,999,0.7929,9.52,3,12.52,Metro,Bus
W_E00262,999,M1_KHEL,0.7929,9.52,3,12.52,Bus,Metro
W_E00263,M1_KHEL,1000,0.49,5.88,3,8.88,Metro,Bus
W_E00264,1000,M1_KHEL,0.49,5.88,3,8.88,Bus,Metro
W_E00265,M1_KHEL,TRN_AGHA,0.5588,6.71,3,9.71,Metro,Train
W_E00266,TRN_AGHA,M1_KHEL,0.5588,6.71,3,9.71,Train,Metro
W_E00267,M1_1MAI,37,0.9758,11.71,3,14.71,Metro,Bus
W_E00268,37,M1_1MAI,0.9758,11.71,3,14.71,Bus,Metro
W_E00269,M1_1MAI,38,0.9902,11.88,3,14.88,Metro,Bus
W_E00270,38,M1_1MAI,0.9902,11.88,3,14.88,Bus,Metro
W_E00271,M1_1MAI,45,0.9483,11.38,3,14.38,Metro,Bus
W_E00272,45,M1_1MAI,0.9483,11.38,3,14.38,Bus,Metro
W_E00273,M1_1MAI,61,0.8464,10.16,3,13.16,Metro,Bus
W_E00274,61,M1_1MAI,0.8464,10.16,3,13.16,Bus,Metro
W_E00275,M1_1MAI,62,0.5311,6.37,3,9.37,Metro,Bus
W_E00276,62,M1_1MAI,0.5311,6.37,3,9.37,Bus,Metro
W_E00277,M1_1MAI,63,0.854,10.25,3,13.25,Metro,Bus
W_E00278,63,M1_1MAI,0.854,10.25,3,13.25,Bus,Metro
W_E00279,M1_1MAI,64,0.5335,6.4,3,9.4,Metro,Bus
W_E00280,64,M1_1MAI,0.5335,6.4,3,9.4,Bus,Metro
W_E00281,M1_1MAI,76,0.5192,6.23,3,9.23,Metro,Bus
W_E00282,76,M1_1MAI,0.5192,6.23,3,9.23,Bus,Metro
W_E00283,M1_1MAI,77,0.6025,7.23,3,10.23,Metro,Bus
W_E00284,77,M1_1MAI,0.6025,7.23,3,10.23,Bus,Metro
W_E00285,M1_1MAI,571,0.6703,8.04,3,11.04,Metro,Bus
W_E00286,571,M1_1MAI,0.6703,8.04,3,11.04,Bus,Metro
W_E00287,M1_1MAI,572,0.9985,11.98,3,14.98,Metro,Bus
W_E00288,572,M1_1MAI,0.9985,11.98,3,14.98,Bus,Metro
W_E00289,M1_1MAI,981,0.5179,6.21,3,9.21,Metro,Bus
W_E00290,981,M1_1MAI,0.5179,6.21,3,9.21,Bus,Metro
W_E00291,M1_1MAI,982,0.6343,7.61,3,10.61,Metro,Bus
W_E00292,982,M1_1MAI,0.6343,7.61,3,10.61,Bus,Metro
W_E00293,M1_1MAI,983,0.7815,9.38,3,12.38,Metro,Bus
W_E00294,983,M1_1MAI,0.7815,9.38,3,12.38,Bus,Metro
W_E00295,M1_1MAI,988,0.745,8.94,3,11.94,Metro,Bus
W_E00296,988,M1_1MAI,0.745,8.94,3,11.94,Bus,Metro
W_E00297,M1_1MAI,989,0.8477,10.17,3,13.17,Metro,Bus
W_E00298,989,M1_1MAI,0.8477,10.17,3,13.17,Bus,Metro
W_E00299,M1_1MAI,990,0.8359,10.03,3,13.03,Metro,Bus
W_E00300,990,M1_1MAI,0.8359,10.03,3,13.03,Bus,Metro
W_E00301,M1_1MAI,991,0.5879,7.05,3,10.05,Metro,Bus
W_E00302,991,M1_1MAI,0.5879,7.05,3,10.05,Bus,Metro
W_E00303,M1_1MAI,992,0.5916,7.1,3,10.1,Metro,Bus
W_E00304,992,M1_1MAI,0.5916,7.1,3,10.1,Bus,Metro
W_E00305,M1_1MAI,993,0.9448,11.34,3,14.34,Metro,Bus
W_E00306,993,M1_1MAI,0.9448,11.34,3,14.34,Bus,Metro
W_E00307,M1_1MAI,994,0.9799,11.76,3,14.76,Metro,Bus
W_E00308,994,M1_1MAI,0.9799,11.76,3,14.76,Bus,Metro
W_E00309,M1_1MAI,995,0.1206,1.45,3,4.45,Metro,Bus
W_E00310,995,M1_1MAI,0.1206,1.45,3,4.45,Bus,Metro
W_E00311,M1_1MAI,996,0.0897,1.08,3,4.08,Metro,Bus
W_E00312,996,M1_1MAI,0.0897,1.08,3,4.08,Bus,Metro
W_E00313,M1_1MAI,997,0.0282,0.34,3,3.34,Metro,Bus
W_E00314,997,M1_1MAI,0.0282,0.34,3,3.34,Bus,Metro
W_E00315,M1_1MAI,998,0.0081,0.1,3,3.1,Metro,Bus
W_E00316,998,M1_1MAI,0.0081,0.1,3,3.1,Bus,Metro
W_E00317,M1_1MAI,999,0.0983,1.18,3,4.18,Metro,Bus
W_E00318,999,M1_1MAI,0.0983,1.18,3,4.18,Bus,Metro
W_E00319,M1_1MAI,1000,0.834,10.01,3,13.01,Metro,Bus
W_E00320,1000,M1_1MAI,0.834,10.01,3,13.01,Bus,Metro
W_E00321,M1_1MAI,TRN_AGHA,0.8675,10.41,3,13.41,Metro,Train
W_E00322,TRN_AGHA,M1_1MAI,0.8675,10.41,3,13.41,Train,Metro
W_E00323,M1_1MAI,TRN_ATELIERS,0.9295,11.15,3,14.15,Metro,Train
W_E00324,TRN_ATELIERS,M1_1MAI,0.9295,11.15,3,14.15,Train,Metro
W_E00325,M1_AISSAT,56,0.4323,5.19,3,8.19,Metro,Bus
W_E00326,56,M1_AISSAT,0.4323,5.19,3,8.19,Bus,Metro
W_E00327,M1_AISSAT,62,0.9892,11.87,3,14.87,Metro,Bus
W_E00328,62,M1_AISSAT,0.9892,11.87,3,14.87,Bus,Metro
W_E00329,M1_AISSAT,64,0.9891,11.87,3,14.87,Metro,Bus
W_E00330,64,M1_AISSAT,0.9891,11.87,3,14.87,Bus,Metro
W_E00331,M1_AISSAT,76,0.8415,10.1,3,13.1,Metro,Bus
W_E00332,76,M1_AISSAT,0.8415,10.1,3,13.1,Bus,Metro
W_E00333,M1_AISSAT,77,0.9321,11.19,3,14.19,Metro,Bus
W_E00334,77,M1_AISSAT,0.9321,11.19,3,14.19,Bus,Metro
W_E00335,M1_AISSAT,346,0.867,10.4,3,13.4,Metro,Bus
W_E00336,346,M1_AISSAT,0.867,10.4,3,13.4,Bus,Metro
W_E00337,M1_AISSAT,347,0.871,10.45,3,13.45,Metro,Bus
W_E00338,347,M1_AISSAT,0.871,10.45,3,13.45,Bus,Metro
W_E00339,M1_AISSAT,563,0.4994,5.99,3,8.99,Metro,Bus
W_E00340,563,M1_AISSAT,0.4994,5.99,3,8.99,Bus,Metro
W_E00341,M1_AISSAT,570,0.9934,11.92,3,14.92,Metro,Bus
